ID,ASSET,LATITUDE,LONGITUDE,TIME,SPEED,HEADING,REASONS,DISTANCE_TRAVELED,ODOMETER,LOADTS,REASONS_TEXT,ID_HAM_PVMNT_PLYGN,PPOLYLABEL,STREETFROM,STREETTO,ASSETNHOOD
1,228,39.111466,-84.576391,10/25/2020 06:57:09 PM,21.8,N,11,0.3,209123.1,10/25/2020 06:59:51 PM,Standard Event,S-HAM01932,SETON AV,ST LAWRENCE AV,VINCENT AV,EAST PRICE HILL
2,325,39.094677,-84.5595,10/25/2020 07:01:14 PM,41.0,NE,11,0.4,51763.8,10/25/2020 07:03:20 PM,Standard Event,S-HAM06953,RIVER RD,GALVIN LN,MT ECHO DR,SEDAMSVILLE
3,325,39.123398,-84.536053,10/25/2020 07:10:23 PM,37.9,N,7,1.4,51767.3,10/25/2020 07:10:26 PM,Power Off,S-HAM27400,SPRING GROVE AV,HARRISON AV,BUCK ST,WEST END
4,311,39.101543,-84.544806,10/25/2020 07:02:40 PM,51.0,SEE,11,1.9,22659.5,10/25/2020 07:02:43 PM,Standard Event,S-HAM52747,W 6TH EB ST,W 6TH EB ST TO W MEHRING WY RAMP,TERM W OF W 6TH EB ST TO W MEHRING WY RAMP,
5,228,39.130152,-84.544106,10/25/2020 07:05:53 PM,34.3,N,11,0.2,209126.8,10/25/2020 07:07:48 PM,Standard Event,S-HAM09600,CUMMINS ST,BEEKMAN ST,DEMPSEY ST,NORTH FAIRMOUNT
6,325,39.115928,-84.535619,10/25/2020 07:09:00 PM,19.3,N,11,0.9,51766.9,10/25/2020 07:09:09 PM,Standard Event,S-HAM27451,DALTON AV,SHERMAN AV,FINDLAY ST,WEST END
7,325,39.104206,-84.535742,10/25/2020 07:06:22 PM,28.0,W,11,0.1,51766,10/25/2020 07:06:58 PM,Standard Event,S-HAM08714,W 8TH ST,CARR ST,DALTON AV,QUEENSGATE
8,228,39.112976,-84.558067,10/25/2020 06:59:30 PM,30.6,SEE,11,1.4,209124.3,10/25/2020 06:59:51 PM,Standard Event,I-GJ11143215,GLENWAY AV & WING ST & STERRETT AV,,,EAST PRICE HILL
9,228,39.127943,-84.54467,10/25/2020 07:05:35 PM,32.0,NNE,11,0,209126.7,10/25/2020 07:07:48 PM,Standard Event,S-HAM50486,BEEKMAN ST,WAVERLY AV,KNOX ST,SOUTH FAIRMOUNT
10,311,39.088424,-84.567019,10/25/2020 07:00:16 PM,3.1,SSE,10,0,22657.7,10/25/2020 07:00:18 PM,Motion Start,I-GJ10432939,RIVER RD & STEINER AV,,,
11,325,39.10673,-84.536363,10/25/2020 07:06:54 PM,0.0,N,9,0.3,51766.2,10/25/2020 07:06:58 PM,Motion Stop,I-GJ13013152,DALTON AV & GEST ST,,,QUEENSGATE
12,311,39.100194,-84.533317,10/25/2020 07:05:24 PM,44.7,N,11,2.5,22660.2,10/25/2020 07:05:57 PM,Standard Event,S-HAM61518,FREEMAN AV,FREEMAN AV TO W 6TH EB ST RAMP,FREEMAN AV TO W 6TH EB ST RAMP,QUEENSGATE
13,325,39.101527,-84.544889,10/25/2020 07:02:36 PM,49.7,SEE,11,1.4,51764.8,10/25/2020 07:03:20 PM,Standard Event,S-HAM52747,W 6TH EB ST,W 6TH EB ST TO W MEHRING WY RAMP,TERM W OF W 6TH EB ST TO W MEHRING WY RAMP,
14,228,39.11691,-84.547866,10/25/2020 07:03:30 PM,35.0,NE,11,0.9,209125.8,10/25/2020 07:04:55 PM,Standard Event,S-HAM31766,STATE AV,SARATOGA ST,LEHMAN RD,LOWER PRICE HILL
15,228,39.109472,-84.552084,10/25/2020 07:02:29 PM,27.9,NNE,11,0.3,209125.2,10/25/2020 07:04:55 PM,Standard Event,I-GJ11653177,STATE AV & WILDER AV,,,LOWER PRICE HILL
16,325,39.098126,-84.533325,10/25/2020 07:03:51 PM,0.0,E,9,2.1,51765.5,10/25/2020 07:04:24 PM,Motion Stop,I-GJ13323056,FREEMAN AV & W MEHRING WY & W 5TH ST,,,QUEENSGATE
17,228,39.114815,-84.549734,10/25/2020 07:03:12 PM,33.3,NNE,11,0.7,209125.6,10/25/2020 07:04:55 PM,Standard Event,S-HAM08212,STATE AV,MISTLETOE AV,W LIBERTY ST,LOWER PRICE HILL
